raceId,driverId,position,q1
63,24,17,1:17.164
63,35,18,1:17.304
63,18,19,1:17.495
63,33,20,1:17.589
63,36,21,1:18.637
63,11,22,1:18.845
64,8,1,1:15.214
64,30,2,1:14.904
64,13,3,1:14.412
64,18,4,1:15.869
64,21,5,1:15.916
64,22,6,1:15.757
64,4,7,1:15.518
64,23,8,1:15.789
64,37,9,1:15.655
64,14,10,1:15.836
64,17,11,1:15.719
64,32,12,1:15.816
64,15,13,1:15.430
64,35,14,1:16.281
64,3,15,1:16.183
64,2,16,1:16.234
64,24,17,1:16.399
64,27,18,1:17.093
64,11,19,1:17.185
64,33,20,1:17.836
64,29,21,1:20.444
64,26,22,\N
65,8,1,1:20.080
65,13,2,1:19.742
65,22,3,1:21.141
65,18,4,1:20.820
65,37,5,1:21.288
65,17,6,1:21.335
65,23,7,1:21.112
65,21,8,1:21.370
65,15,9,1:21.434
65,9,10,1:20.891
65,2,11,1:21.437
65,30,12,1:21.440
65,14,13,1:21.163
65,32,14,1:22.027
65,4,15,1:21.792
65,33,16,1:22.009
65,24,17,1:22.068
65,3,18,1:22.084
65,26,19,1:22.317
65,11,20,1:22.967
65,27,21,1:23.146
65,29,22,1:24.016
66,13,1,1:27.306
66,30,2,1:27.385
66,4,3,1:27.861
66,21,4,1:28.175
66,23,5,1:27.668
66,2,6,1:28.200
66,18,7,1:28.222
66,8,8,1:28.236
66,9,9,1:28.212
66,17,10,1:28.307
66,32,11,1:28.271
66,37,12,1:28.403
66,15,13,1:28.549
66,22,14,1:28.411
66,3,15,1:28.889
66,27,16,1:29.021
66,14,17,1:29.136
66,26,18,1:29.158
66,24,19,1:29.250
66,33,20,1:29.901
66,29,21,1:30.607
66,11,22,1:30.850
67,8,1,1:21.994
67,30,2,1:21.711
67,2,3,1:21.764
67,13,4,1:22.028
67,18,5,1:22.512
67,9,6,1:22.437
67,37,7,1:22.422
67,22,8,1:22.640
67,21,9,1:22.486
67,4,10,1:21.747
67,15,11,1:22.093
67,3,12,1:22.581
67,23,13,1:22.622
67,14,14,1:22.618
67,26,15,1:22.943
67,32,16,1:22.898
67,24,17,1:23.043
67,27,18,1:23.116
67,17,19,1:23.341
67,33,20,1:23.920
67,11,21,1:24.289
67,29,22,1:26.001
68,4,1,1:44.128
68,21,2,1:44.378
68,22,3,1:47.072
68,18,4,1:45.809
68,8,5,1:44.909
68,30,6,1:47.366
68,37,7,1:44.808
68,2,8,1:46.249
68,9,9,1:46.049
68,38,10,1:46.387
68,26,11,1:46.222
68,14,12,1:45.931
68,24,13,1:45.564
68,17,14,1:48.560
68,3,15,1:47.535
68,23,16,1:48.894
68,15,17,1:49.098
68,33,18,1:49.903
68,29,19,1:55.560
68,13,20,1:47.231
68,11,21,1:50.326
68,27,22,1:49.542
69,13,1,1:30.112
69,30,2,1:31.279
69,23,3,1:30.595
69,15,4,1:30.420
69,4,5,1:30.976
69,21,6,1:31.696
69,18,7,1:30.847
69,22,8,1:31.972
69,2,9,1:31.811
69,3,10,1:30.585
69,8,11,1:32.080
69,9,12,1:31.204
69,37,13,1:31.581
69,17,14,1:31.647
69,24,15,1:31.741
69,27,16,1:32.221
69,14,17,1:32.252
69,38,18,1:32.402
69,26,19,1:32.867
69,11,20,1:33.666
69,33,21,1:33.709
69,29,22,\N
70,13,1,1:10.643
70,8,2,1:12.035
70,15,3,1:11.885
70,4,4,1:11.791
70,22,5,1:12.017
70,21,6,1:12.042
70,23,7,1:11.713
70,2,8,1:12.307
70,9,9,1:12.040
70,30,10,1:11.565
70,17,11,1:11.973
70,37,12,1:11.825
70,3,13,1:11.974
70,18,14,1:12.085
70,38,15,1:12.530
70,24,16,1:12.855
70,26,17,1:12.856
70,27,18,1:13.138
70,14,19,1:13.249
70,11,20,1:13.269
70,29,21,1:13.357
70,33,22,\N
77,2,1,1:30.081
77,8,2,1:30.197
77,17,3,1:30.368
77,15,4,1:30.700
77,31,5,1:30.890
77,4,6,1:31.056
77,22,7,1:31.249
77,23,8,1:31.392
77,21,9,1:31.566
77,30,10,1:31.585
77,13,11,1:32.205
77,14,12,1:32.553
77,18,13,1:32.594
77,24,14,1:32.642
77,35,15,1:32.891
77,11,16,1:32.926
77,33,17,1:35.047
77,40,18,1:35.954
77,39,19,1:36.192
77,27,20,1:36.239
78,18,1,1:15.217
78,30,2,1:15.475
78,4,3,1:15.561
78,21,4,1:15.577
78,31,5,1:15.669
78,11,6,1:15.729
